"Block","Treatment","Surface_area_cm2","Tissue","ID"
2,"F0.5",400,"OtherEvergreen_NewStems","2004"
2,"F0.5",400,"OtherEvergreen_OldLeaves","2005"
2,"F0.5",400,"OtherEvergreen_OldStems","2006"
2,"F0.5",400,"OtherEvergreen_Inflor","676"
2,"F0.5",400,"OtherEvergreen_BelowStem","2007"
2,"F0.5",400,"Rubcha_LeavesStems","1998"
2,"F0.5",400,"Rubcha_InflorStalks",NA
2,"F0.5",400,"Rubcha_BelowStem","1999"
2,"F0.5",400,"Petfri_LeavesStems","2000"
2,"F0.5",400,"Petfri_InflorStalks",NA
2,"F0.5",400,"Petfri_BelowStem",NA
2,"F0.5",400,"OtherForb_LeavesStems","786"
2,"F0.5",400,"OtherForb_InflorStalks",NA
2,"F0.5",400,"OtherForb_BelowStem","800"
2,"F0.5",400,"Sphagnum_Green","872"
2,"F0.5",400,"OtherMoss_Green","1993"
2,"F0.5",400,"Lichen_Live","1994"
2,"F0.5",400,"Attached_Wood",NA
2,"F0.5",400,"Attached_Litter","2010"
2,"F0.5",400,"Loose_Litter",NA
2,"F1",400,"Erivag_BladeSheathInflCulm","934"
2,"F1",400,"Erivag_Rhizome","992"
2,"F1",400,"Carbig_BladeSheathInflCulm","477"
2,"F1",400,"Carbig_Rhizome","480"
2,"F1",400,"OtherGraminoid_BladeSheathInflCulm",NA
2,"F1",400,"OtherGraminoid_Rhizome","728"
2,"F1",400,"Betnan_NewLeaves","644"
2,"F1",400,"Betnan_NewStems","645"
2,"F1",400,"Betnan_OldStems","646"
2,"F1",400,"Betnan_Inflor","708"
2,"F1",400,"Betnan_BelowStem","647"
2,"F1",400,"Salpul_NewLeaves","635"
2,"F1",400,"Salpul_NewStems","636"
2,"F1",400,"Salpul_OldStems","637"
2,"F1",400,"Salpul_Inflor",NA
2,"F1",400,"Salpul_BelowStem",NA
2,"F1",400,"Vaculi_NewLeaves","631"
2,"F1",400,"Vaculi_NewStems","632"
2,"F1",400,"Vaculi_OldStems","633"
2,"F1",400,"Vaculi_Inflor",NA
2,"F1",400,"Vaculi_BelowStem","634"
