"Block","Treatment","Quad","Surface_area_cm2","Species","Tissue","Mass_g"
1,"F0.5",4,400,"Vaculi","Inflor",0
1,"F0.5",4,400,"Vaculi","BelowStem",0
1,"F0.5",4,400,"OtherDeciduous","NewLeaves",0
1,"F0.5",4,400,"OtherDeciduous","NewStems",0
1,"F0.5",4,400,"OtherDeciduous","OldStems",0
1,"F0.5",4,400,"OtherDeciduous","Inflor",0
1,"F0.5",4,400,"OtherDeciduous","BelowStem",0
1,"F0.5",4,400,"Ledpal","NewLeaves",1.674
1,"F0.5",4,400,"Ledpal","NewStems",0.454
1,"F0.5",4,400,"Ledpal","OldLeaves",0.473
1,"F0.5",4,400,"Ledpal","OldStems",3.18
1,"F0.5",4,400,"Ledpal","Inflor",0.287
1,"F0.5",4,400,"Ledpal","BelowStem",10.062
1,"F0.5",4,400,"Vacvit","NewLeaves",0.075
1,"F0.5",4,400,"Vacvit","NewStems",0.013
1,"F0.5",4,400,"Vacvit","OldLeaves",0.313
1,"F0.5",4,400,"Vacvit","OldStems",0.155
1,"F0.5",4,400,"Vacvit","Inflor",0.028
1,"F0.5",4,400,"Vacvit","BelowStem",0.342
1,"F0.5",4,400,"Castet","NewStems",0
1,"F0.5",4,400,"Castet","OldStems",0
1,"F0.5",4,400,"Castet","Inflor",0
1,"F0.5",4,400,"Castet","BelowStem",0
1,"F0.5",4,400,"OtherEvergreen","NewLeaves",0
1,"F0.5",4,400,"OtherEvergreen","NewStems",0
1,"F0.5",4,400,"OtherEvergreen","OldLeaves",0
1,"F0.5",4,400,"OtherEvergreen","OldStems",0
1,"F0.5",4,400,"OtherEvergreen","Inflor",0
1,"F0.5",4,400,"OtherEvergreen","BelowStem",0
1,"F0.5",4,400,"Rubcha","LeavesStems",0.076
1,"F0.5",4,400,"Rubcha","InflorStalks",0
1,"F0.5",4,400,"Rubcha","BelowStem",0.633
1,"F0.5",4,400,"Petfri","LeavesStems",0
1,"F0.5",4,400,"Petfri","InflorStalks",0
1,"F0.5",4,400,"Petfri","BelowStem",0
1,"F0.5",4,400,"OtherForb","LeavesStems",0
1,"F0.5",4,400,"OtherForb","InflorStalks",0
1,"F0.5",4,400,"OtherForb","BelowStem",0
1,"F0.5",4,400,"Sphagnum","Green",0
1,"F0.5",4,400,"OtherMoss","Green",1.733
1,"F0.5",4,400,"Lichen","Live",0.835
1,"F0.5",4,400,"Attached","Wood",0
1,"F0.5",4,400,"Attached","Litter",0.142
1,"F0.5",4,400,"Loose","Litter",NA
1,"F1",1,400,"Erivag","BladeSheathInflCulm",0.438
1,"F1",1,400,"Erivag","Rhizome",0.308
1,"F1",1,400,"Carbig","BladeSheathInflCulm",0.739
1,"F1",1,400,"Carbig","Rhizome",7.996
1,"F1",1,400,"OtherGraminoid","BladeSheathInflCulm",0
1,"F1",1,400,"OtherGraminoid","Rhizome",0
